sample_name	experiment	selection_id	biological_replicate	technical_replicate	pair1	pair2	mutscan_name	OD
inputA	1	0		1	SRR6813745_1.fastq.gz	SRR6813745_2.fastq.gz	inputA	1
inputA	1	0		2	SRR6813746_1.fastq.gz	SRR6813746_2.fastq.gz	inputA	1
inputA	1	0		3	SRR6813747_1.fastq.gz	SRR6813747_2.fastq.gz	inputA	1
inputA	1	0		4	SRR6813748_1.fastq.gz	SRR6813748_2.fastq.gz	inputA	1
sel30A	1	1	1	1	SRR6813755_1.fastq.gz	SRR6813755_2.fastq.gz	sel30A	1
sel30A	1	1	1	2	SRR6813756_1.fastq.gz	SRR6813756_2.fastq.gz	sel30A	1
inputB	2	0		1	SRR6813745_1.fastq.gz	SRR6813745_2.fastq.gz	inputB	1
inputB	2	0		2	SRR6813746_1.fastq.gz	SRR6813746_2.fastq.gz	inputB	1
inputB	2	0		3	SRR6813747_1.fastq.gz	SRR6813747_2.fastq.gz	inputB	1
inputB	2	0		4	SRR6813748_1.fastq.gz	SRR6813748_2.fastq.gz	inputB	1
sel30B	2	1	1	1	SRR6813757_1.fastq.gz	SRR6813757_2.fastq.gz	sel30B	1
sel30B	2	1	1	2	SRR6813758_1.fastq.gz	SRR6813758_2.fastq.gz	sel30B	1
inputC	3	0		1	SRR6813745_1.fastq.gz	SRR6813745_2.fastq.gz	inputC	1
inputC	3	0		2	SRR6813746_1.fastq.gz	SRR6813746_2.fastq.gz	inputC	1
inputC	3	0		3	SRR6813747_1.fastq.gz	SRR6813747_2.fastq.gz	inputC	1
inputC	3	0		4	SRR6813748_1.fastq.gz	SRR6813748_2.fastq.gz	inputC	1
sel30C	3	1	1		SRR6813759_1.fastq.gz	SRR6813759_2.fastq.gz	sel30C	1
inputD	4	0		1	SRR6813745_1.fastq.gz	SRR6813745_2.fastq.gz	inputD	1
inputD	4	0		2	SRR6813746_1.fastq.gz	SRR6813746_2.fastq.gz	inputD	1
inputD	4	0		3	SRR6813747_1.fastq.gz	SRR6813747_2.fastq.gz	inputD	1
inputD	4	0		4	SRR6813748_1.fastq.gz	SRR6813748_2.fastq.gz	inputD	1
sel30D	4	1	1		SRR6813760_1.fastq.gz	SRR6813760_2.fastq.gz	sel30D	1
inputE	5	0		1	SRR6813745_1.fastq.gz	SRR6813745_2.fastq.gz	inputE	1
inputE	5	0		2	SRR6813746_1.fastq.gz	SRR6813746_2.fastq.gz	inputE	1
inputE	5	0		3	SRR6813747_1.fastq.gz	SRR6813747_2.fastq.gz	inputE	1
inputE	5	0		4	SRR6813748_1.fastq.gz	SRR6813748_2.fastq.gz	inputE	1
sel30E	5	1	1		SRR6813761_1.fastq.gz	SRR6813761_2.fastq.gz	sel30E	1
